Sm8	Qv5	Ie6	Rz6	Bi10	Rn9	Ai10	Bm7	Ed8	Ph7	Gq10	Lm8	Lo9	Ik6	Cl13	Pt8	Tr13	Tm13	Gu10	Iv8	Fn14	DV2J	Pz13	Cv9	Wm14	Qt8	Ss10	Yz6	Ht8	Sd4	Mo	JVA	Gl11	Je11	Kk13	Bw12	Vt12	Mi12	Ga13	Yr14	Fy11	Ta11	Mg12	Nn10	Dj15	Fw12	Cg16	Et12	Az15
Cl13	0.002	0.002	0.005	0.002	0.005	0.079	0.002	0.004	0.002	0.014	0.002	0.021	0.003	0.003	1	0.084	0.264	0.004	0.005	0.004	0.004	0.003	0.003	0.002	0.002	0.104	0.004	0.001	0.125	0.029	0.002	0.002	0.082	0.002	0.002	0.004	0.002	0.002	0.042	0.002	0.004	0.008	0.217	0.005	0.003	0.002	0.007	0.003	0.003
Pt8	0.002	0.003	0.003	0.003	0.003	0.124	0.002	0.004	0.002	0.005	0.002	0.012	0.004	0.004	0.084	1	0.107	0.004	0.002	0.005	0.008	0.002	0.002	0.001	0.002	0.007	0.014	0.002	0.238	0.02	0.004	0.005	0.175	0.002	0.003	0.005	0.002	0.002	0.007	0.003	0.002	0.003	0.147	0.005	0.002	0.003	0.004	0.003	0.006
Tr13	0.002	0.004	0.002	0.002	0.004	0.029	0.002	0.003	0.002	0.007	0.002	0.003	0.002	0.003	0.264	0.107	1	0.004	0.003	0.003	0.004	0.002	0.002	0.003	0.002	0.034	0.003	0.001	0.075	0.026	0.002	0.004	0.054	0.003	0.002	0.003	0.001	0.002	0.024	0.006	0.003	0.003	0.259	0.005	0.003	0.002	0.008	0.003	0.004
Tm13	0.004	0.003	0.003	0.017	0.017	0.002	0.003	0.003	0.013	0.003	0.003	0.004	0.004	0.006	0.004	0.004	0.004	1	0.002	0.025	0.009	0.005	0.002	0.002	0.003	0.003	0.003	0.002	0.002	0.002	0.008	0.005	0.002	0.002	0.003	0.169	0.003	0.002	0.004	0.003	0.002	0.002	0.002	0.02	0.005	0.005	0.009	0.241	0.003
Gu10	0.003	0.124	0.013	0.018	0.032	0.007	0.002	0.006	0.002	0.018	0.068	0.003	0.008	0.003	0.005	0.002	0.003	0.002	1	0.008	0.005	0.004	0.004	0.014	0.005	0.002	0.003	0.017	0.003	0.004	0.004	0.004	0.008	0.003	0.007	0.004	0.007	0.002	0.004	0.003	0.002	0.005	0.004	0.003	0.013	0.006	0.002	0.002	0.006
Iv8	0.003	0.005	0.003	0.006	0.007	0.003	0.002	0.013	0.007	0.002	0.006	0.002	0.003	0.005	0.004	0.005	0.003	0.025	0.008	1	0.008	0.003	0.003	0.002	0.003	0.004	0.002	0.002	0.002	0.002	0.003	0.013	0.002	0.018	0.009	0.004	0.003	0.002	0.002	0.013	0.002	0.002	0.003	0.006	0.008	0.003	0.003	0.008	0.008
Fn14	0.003	0.005	0.029	0.168	0.005	0.002	0.003	0.008	0.003	0.031	0.093	0.003	0.003	0.002	0.004	0.008	0.004	0.009	0.005	0.008	1	0.003	0.003	0.002	0.029	0.009	0.005	0.006	0.003	0.003	0.004	0.007	0.002	0.01	0.004	0.144	0.002	0.003	0.004	0.008	0.002	0.009	0.003	0.003	0.005	0.011	0.003	0.005	0.004
DV2J	0.002	0.003	0.004	0.004	0.002	0.003	0.001	0.003	0.002	0.002	0.004	0.002	0.002	0.006	0.003	0.002	0.002	0.005	0.004	0.003	0.003	1	0.002	0.011	0.002	0.001	0.002	0.001	0.002	0.002	0.006	0.004	0.002	0.003	0.002	0.002	0.003	0.006	0.003	0.002	0.001	0.002	0.002	0.002	0.002	0.003	0.008	0.002	0.002
Pz13	0.488	0.017	0.033	0.004	0.004	0.003	0.009	0.003	0.166	0.057	0.007	0.003	0.07	0.015	0.003	0.002	0.002	0.002	0.004	0.003	0.003	0.002	1	0.003	0.003	0.004	0.004	0.004	0.002	0.002	0.003	0.002	0.003	0.004	0.007	0.004	0.004	0.002	0.008	0.005	0.002	0.005	0.003	0.005	0.006	0.02	0.004	0.003	0.003
Cv9	0.003	0.004	0.003	0.013	0.002	0.002	0.001	0.002	0.002	0.002	0.01	0.003	0.002	0.015	0.002	0.001	0.003	0.002	0.014	0.002	0.002	0.011	0.003	1	0.004	0.002	0.002	0.003	0.002	0.002	0.003	0.002	0.001	0.003	0.002	0.003	0.047	0.096	0.002	0.003	0.005	0.004	0.002	0.004	0.002	0.002	0.006	0.002	0.002
Wm14	0.002	0.037	0.003	0.016	0.005	0.002	0.003	0.01	0.003	0.002	0.456	0.003	0.004	0.003	0.002	0.002	0.002	0.003	0.005	0.003	0.029	0.002	0.003	0.004	1	0.002	0.003	0.025	0.002	0.003	0.004	0.004	0.002	0.005	0.008	0.003	0.004	0.004	0.002	0.004	0.003	0.003	0.002	0.002	0.005	0.006	0.002	0.005	0.002
Qt8	0.003	0.004	0.004	0.003	0.002	0.03	0.002	0.004	0.003	0.023	0.002	0.004	0.004	0.008	0.104	0.007	0.034	0.003	0.002	0.004	0.009	0.001	0.004	0.002	0.002	1	0.011	0.004	0.016	0.023	0.003	0.002	0.014	0.005	0.004	0.003	0.002	0.002	0.018	0.003	0.007	0.028	0.081	0.005	0.003	0.003	0.002	0.019	0.002
Ss10	0.007	0.003	0.007	0.006	0.004	0.004	0.002	0.004	0.004	0.004	0.003	0.035	0.002	0.002	0.004	0.014	0.003	0.003	0.003	0.002	0.005	0.002	0.004	0.002	0.003	0.011	1	0.099	0.017	0.005	0.004	0.004	0.005	0.005	0.005	0.006	0.004	0.002	0.174	0.008	0.071	0.037	0.003	0.021	0.002	0.004	0.005	0.003	0.144
Yz6	0.002	0.025	0.037	0.016	0.006	0.001	0.002	0.032	0.002	0.003	0.016	0.003	0.002	0.002	0.001	0.002	0.001	0.002	0.017	0.002	0.006	0.001	0.004	0.003	0.025	0.004	0.099	1	0.002	0.004	0.005	0.003	0.002	0.004	0.007	0.003	0.013	0.004	0.002	0.003	0.231	0.302	0.002	0.002	0.003	0.004	0.003	0.003	0.062
Ht8	0.002	0.002	0.002	0.002	0.003	0.144	0.002	0.003	0.002	0.005	0.002	0.004	0.002	0.003	0.125	0.238	0.075	0.002	0.003	0.002	0.003	0.002	0.002	0.002	0.002	0.016	0.017	0.002	1	0.023	0.003	0.002	0.102	0.003	0.005	0.003	0.002	0.002	0.029	0.003	0.004	0.005	0.476	0.012	0.002	0.002	0.002	0.003	0.004
Sd4	0.002	0.004	0.004	0.003	0.008	0.047	0.001	0.002	0.003	0.081	0.002	0.008	0.005	0.006	0.029	0.02	0.026	0.002	0.004	0.002	0.003	0.002	0.002	0.002	0.003	0.023	0.005	0.004	0.023	1	0.003	0.003	0.01	0.033	0.005	0.003	0.002	0.002	0.01	0.009	0.013	0.009	0.035	0.003	0.002	0.009	0.003	0.004	0.009
Mo	0.004	0.004	0.005	0.003	0.004	0.004	0.003	0.004	0.003	0.003	0.002	0.004	0.004	0.003	0.002	0.004	0.002	0.008	0.004	0.003	0.004	0.006	0.003	0.003	0.004	0.003	0.004	0.005	0.003	0.003	1	0.012	0.002	0.007	0.007	0.003	0.004	0.003	0.002	0.006	0.003	0.004	0.002	0.002	0.003	0.005	0.002	0.007	0.018
JVA	0.003	0.003	0.002	0.002	0.004	0.004	0.002	0.005	0.002	0.002	0.003	0.002	0.003	0.002	0.002	0.005	0.004	0.005	0.004	0.013	0.007	0.004	0.002	0.002	0.004	0.002	0.004	0.003	0.002	0.003	0.012	1	0.004	0.01	0.01	0.008	0.003	0.002	0.005	0.01	0.002	0.003	0.002	0.004	0.002	0.002	0.004	0.003	0.008
Gl11	0.002	0.002	0.003	0.002	0.002	0.223	0.002	0.002	0.002	0.004	0.001	0.002	0.002	0.002	0.082	0.175	0.054	0.002	0.008	0.002	0.002	0.002	0.003	0.001	0.002	0.014	0.005	0.002	0.102	0.01	0.002	0.004	1	0.003	0.005	0.002	0.002	0.002	0.02	0.003	0.004	0.002	0.031	0.002	0.002	0.002	0.005	0.003	0.003
Je11	0.003	0.003	0.004	0.002	0.019	0.003	0.002	0.005	0.003	0.013	0.003	0.002	0.006	0.002	0.002	0.002	0.003	0.002	0.003	0.018	0.01	0.003	0.004	0.003	0.005	0.005	0.005	0.004	0.003	0.033	0.007	0.01	0.003	1	0.007	0.004	0.007	0.003	0.002	0.006	0.003	0.003	0.003	0.207	0.036	0.003	0.006	0.005	0.009
Kk13	0.003	0.005	0.003	0.003	0.003	0.006	0.003	0.014	0.003	0.003	0.003	0.003	0.003	0.004	0.002	0.003	0.002	0.003	0.007	0.009	0.004	0.002	0.007	0.002	0.008	0.004	0.005	0.007	0.005	0.005	0.007	0.01	0.005	0.007	1	0.006	0.004	0.003	0.005	0.006	0.031	0.005	0.003	0.004	0.03	0.004	0.004	0.005	0.003
Bw12	0.002	0.006	0.012	0.006	0.01	0.002	0.002	0.006	0.008	0.004	0.003	0.002	0.003	0.002	0.004	0.005	0.003	0.169	0.004	0.004	0.144	0.002	0.004	0.003	0.003	0.003	0.006	0.003	0.003	0.003	0.003	0.008	0.002	0.004	0.006	1	0.004	0.002	0.004	0.005	0.004	0.002	0.003	0.003	0.004	0.003	0.003	0.312	0.003
Vt12	0.004	0.028	0.003	0.007	0.006	0.002	0.002	0.003	0.004	0.003	0.01	0.004	0.004	0.004	0.002	0.002	0.001	0.003	0.007	0.003	0.002	0.003	0.004	0.047	0.004	0.002	0.004	0.013	0.002	0.002	0.004	0.003	0.002	0.007	0.004	0.004	1	0.041	0.002	0.003	0.004	0.011	0.002	0.003	0.004	0.003	0.007	0.002	0.004
Mi12	0.002	0.002	0.003	0.002	0.003	0.003	0.002	0.005	0.002	0.002	0.016	0.003	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.002	0.003	0.006	0.002	0.096	0.004	0.002	0.002	0.004	0.002	0.002	0.003	0.002	0.002	0.003	0.003	0.002	0.041	1	0.002	0.005	0.003	0.006	0.002	0.003	0.003	0.003	0.003	0.002	0.003
Ga13	0.004	0.004	0.004	0.003	0.004	0.052	0.002	0.003	0.005	0.048	0.003	0.145	0.004	0.035	0.042	0.007	0.024	0.004	0.004	0.002	0.004	0.003	0.008	0.002	0.002	0.018	0.174	0.002	0.029	0.01	0.002	0.005	0.02	0.002	0.005	0.004	0.002	0.002	1	0.003	0.045	0.003	0.011	0.009	0.003	0.003	0.003	0.002	0.002
Yr14	0.007	0.004	0.006	0.005	0.018	0.004	0.003	0.005	0.005	0.005	0.007	0.002	0.014	0.002	0.002	0.003	0.006	0.003	0.003	0.013	0.008	0.002	0.005	0.003	0.004	0.003	0.008	0.003	0.003	0.009	0.006	0.01	0.003	0.006	0.006	0.005	0.003	0.005	0.003	1	0.004	0.005	0.008	0.003	0.005	0.005	0.004	0.005	0.004
Fy11	0.002	0.006	0.014	0.003	0.006	0.003	0.002	0.052	0.002	0.006	0.004	0.042	0.003	0.003	0.004	0.002	0.003	0.002	0.002	0.002	0.002	0.001	0.002	0.005	0.003	0.007	0.071	0.231	0.004	0.013	0.003	0.002	0.004	0.003	0.031	0.004	0.004	0.003	0.045	0.004	1	0.103	0.005	0.019	0.003	0.019	0.004	0.006	0.009
Ta11	0.002	0.009	0.008	0.003	0.006	0.003	0.002	0.009	0.002	0.006	0.004	0.012	0.003	0.003	0.008	0.003	0.003	0.002	0.005	0.002	0.009	0.002	0.005	0.004	0.003	0.028	0.037	0.302	0.005	0.009	0.004	0.003	0.002	0.003	0.005	0.002	0.011	0.006	0.003	0.005	0.103	1	0.017	0.003	0.003	0.002	0.004	0.002	0.079
Mg12	0.002	0.002	0.002	0.002	0.003	0.073	0.002	0.003	0.002	0.004	0.002	0.015	0.002	0.003	0.217	0.147	0.259	0.002	0.004	0.003	0.003	0.002	0.003	0.002	0.002	0.081	0.003	0.002	0.476	0.035	0.002	0.002	0.031	0.003	0.003	0.003	0.002	0.002	0.011	0.008	0.005	0.017	1	0.004	0.003	0.002	0.002	0.003	0.003
Nn10	0.003	0.002	0.005	0.004	0.002	0.005	0.002	0.004	0.002	0.005	0.002	0.015	0.008	0.007	0.005	0.005	0.005	0.02	0.003	0.006	0.003	0.002	0.005	0.004	0.002	0.005	0.021	0.002	0.012	0.003	0.002	0.004	0.002	0.207	0.004	0.003	0.003	0.003	0.009	0.003	0.019	0.003	0.004	1	0.043	0.003	0.011	0.004	0.003
Dj15	0.003	0.04	0.003	0.003	0.002	0.002	0.003	0.002	0.003	0.003	0.005	0.003	0.003	0.002	0.003	0.002	0.003	0.005	0.013	0.008	0.005	0.002	0.006	0.002	0.005	0.003	0.002	0.003	0.002	0.002	0.003	0.002	0.002	0.036	0.03	0.004	0.004	0.003	0.003	0.005	0.003	0.003	0.003	0.043	1	0.002	0.008	0.004	0.004
Fw12	0.004	0.002	0.006	0.004	0.003	0.002	0.093	0.003	0.005	0.004	0.002	0.003	0.004	0.003	0.002	0.003	0.002	0.005	0.006	0.003	0.011	0.003	0.02	0.002	0.006	0.003	0.004	0.004	0.002	0.009	0.005	0.002	0.002	0.003	0.004	0.003	0.003	0.003	0.003	0.005	0.019	0.002	0.002	0.003	0.002	1	0.006	0.003	0.002
Cg16	0.002	0.003	0.003	0.012	0.004	0.003	0.009	0.002	0.003	0.005	0.002	0.003	0.02	0.012	0.007	0.004	0.008	0.009	0.002	0.003	0.003	0.008	0.004	0.006	0.002	0.002	0.005	0.003	0.002	0.003	0.002	0.004	0.005	0.006	0.004	0.003	0.007	0.003	0.003	0.004	0.004	0.004	0.002	0.011	0.008	0.006	1	0.007	0.058
Et12	0.003	0.004	0.007	0.003	0.018	0.003	0.002	0.009	0.004	0.002	0.002	0.002	0.003	0.002	0.003	0.003	0.003	0.241	0.002	0.008	0.005	0.002	0.003	0.002	0.005	0.019	0.003	0.003	0.003	0.004	0.007	0.003	0.003	0.005	0.005	0.312	0.002	0.002	0.002	0.005	0.006	0.002	0.003	0.004	0.004	0.003	0.007	1	0.004
Az15	0.002	0.007	0.005	0.008	0.004	0.011	0.002	0.007	0.004	0.002	0.003	0.003	0.002	0.003	0.003	0.006	0.004	0.003	0.006	0.008	0.004	0.002	0.003	0.002	0.002	0.002	0.144	0.062	0.004	0.009	0.018	0.008	0.003	0.009	0.003	0.003	0.004	0.003	0.002	0.004	0.009	0.079	0.003	0.003	0.004	0.002	0.058	0.004	1
